,tweet_id_str,date_time,location,tweet_text
0,1542639871981920256,2022-06-30 22:43:01+00:00,"Pennsylvania, USA","interview renowned oxford epidemiologist dr. sunetra gupta viruses , population immunological landscape , sars cov 2 unusual perverse outcome intervention , more."
1,1542621979496402952,2022-06-30 21:31:55+00:00,"New York, USA",rna vaccine vaccine especially dangerous vaccine directed old 19 spike protein longer became extinct original 19 became extinct due herd immunity.this vaccine give protection .
2,1542613809285795840,2022-06-30 20:59:27+00:00,"Wirral, UK","freedom day fast approaching , government going herd #covid19 #humour #kindleunlimited"
3,1542601823202119681,2022-06-30 20:11:49+00:00,"BC, Canada(formerly, Calif)",opinion one doctor wrecked response
4,1542600827730157568,2022-06-30 20:07:52+00:00,,"marching skippy james topp dr paul alexander , trump caputo science adviser called millions americans infected 19 achieve herd save economy. alexander dominated topp ' presser 24 cpc mps ottawa week ago."
5,1542577731841544192,2022-06-30 18:36:05+00:00,"Tampa, FL",one doctor wrecked response
6,1542564384974770178,2022-06-30 17:43:03+00:00,"Ottawa, Ontario",man following poilievre donald trump ' health advisor wanted infants infected covid.
7,1542549028956786689,2022-06-30 16:42:02+00:00,🌎,herd approach get embraced trump ? house select subcommittee points dr. scott atlas
8,1542525737743400960,2022-06-30 15:09:29+00:00,"New York, NY","editl bd mr. #trump embraced wrongheaded policy appealed hope virus would go away ... wrong dr. atlas ? said virus might cause abt 10,000 deaths. end , directly caused least 1 million ..."
9,1542525573875961856,2022-06-30 15:08:50+00:00,"Wenen, Oostenrijk","' sage never discussed notorious herd plan apparently started government behavioural insights unit , hardly epidemiologists. week delay initial cost 20,000 lives . '"
10,1542525360461565952,2022-06-30 15:07:59+00:00,,"dear lord trust xi biden bloomberg xi warns ' herd , ' vows stick zero."
11,1542522579625250822,2022-06-30 14:56:56+00:00,,"president #xijinping reiterated dynamic zero #covid policy proved correct effective nation ' response 19 outbreaks , saying herd approach would cause unimaginable consequences populous country china."
12,1542519892766642177,2022-06-30 14:46:15+00:00,Indiana,"recently talked immunological landscape population , sars cov 2 unusual , perverse outcome intervention , lose sleep worrying apocalyptic pandemic."
13,1542518400198385667,2022-06-30 14:40:19+00:00,Whadjuk Noongar Boodja,tfw expression perth degrees separation means got 19 still cannot believe came lowest world herd immunity. ' right.
14,1542507794548502531,2022-06-30 13:58:11+00:00,Same Keenan Powell on Facebook,opinion one doctor wrecked response
15,1542492967117651971,2022-06-30 12:59:16+00:00,Western NC,"hey , ' all. ' one people keeps asking anyone ' 19 , yet ? please stop. ' holding survey. ' asking anecdotes , best. ' going reach herd covid. mask , vax , distance , wash ' hands ."
16,1542470948770775042,2022-06-30 11:31:46+00:00,,"... western govt. ' exit strategy tactics reach goal viral attenuation vivo serial passaging cell tissue unvaccinated school children , herd antibodies cell memory mass infection. btw , failed uk."
17,1542468737751818241,2022-06-30 11:22:59+00:00,"Jinan, Shandong, China","president xi jinping reiterated dynamic zero policy proved correct effective nation ' response 19 outbreaks , saying herd approach would cause unimaginable consequences populous country china."
18,1542468576547848192,2022-06-30 11:22:20+00:00,,"president xi jinping reiterated dynamic zero policy proved correct effective nation ' response 19 outbreaks , saying herd approach would cause unimaginable consequences populous country china."
19,1542465738061012992,2022-06-30 11:11:04+00:00,"Cambridge, MA",one doctor wrecked response
20,1542445809614086149,2022-06-30 09:51:52+00:00,Birmingham,50000 #covid #birmingham herd here. summer wave still mutating. #mask #ventilate take care
21,1542435772669779969,2022-06-30 09:11:59+00:00,,"president #xijinping reiterated dynamic zero policy proved correct effective china ' response #covid19 outbreaks , saying herd approach would cause unimaginable consequences."
22,1542429779923959808,2022-06-30 08:48:11+00:00,Hong Kong,"interesting see comment government health adviser prof. ivan hung xi jinping arrives town , day earlier warned herd said zero still economic effective policy china"
23,1542428402606563329,2022-06-30 08:42:42+00:00,,"sadly likely possibility new variant concern deadly risk ignore , two things seem rather evident. 1. long , wave new infection , represent huge burden economy. evidence herd infection always 4"
24,1542411605031489539,2022-06-30 07:35:57+00:00,South Africa,"19 vaccination levels dropping fast , putting south africa ' herd target well reach. people reading end restrictions signal vaccination longer required , say government monitors."
25,1542410387919982597,2022-06-30 07:31:07+00:00,"Montpellier, France","herd , herd getting vulnerable. ... watching water flow uphill. see , need start looking external driver."
26,1542408389556178944,2022-06-30 07:23:11+00:00,,"emphasis word pointless. herd #covid pipe dream. chicken pox. get , get again. #maskup #getvaccinated"
27,1542408341317877760,2022-06-30 07:22:59+00:00,"nipaluna/Hobart, Australia","cynical , pro business , unscientific herd approach , costing us dearly. 92 tasmanians lost counting , cases rising dangerous ba. 4 5 becoming dominant. got one world highest transmission rates. masks save lives. #politas"
28,1542402776986054656,2022-06-30 07:00:53+00:00,"Boston, MA","china stick ' zero ' strategy even hurts country ' economy , xi jinping ... country large population. strategies ' herd ' ' lying flat ' would lead consequences unimaginable , xi said. 35m ago"
29,1542375733929971712,2022-06-30 05:13:25+00:00,"Kennewick, WA","wrong #dratlas ? march email , said judging early estimates , virus might cause 10,000 deaths. end , directly caused least 1 million deaths united states indirectly many more."
30,1542373678029094913,2022-06-30 05:05:15+00:00,,everyone watch video february 2020 critical period 19 response herd project
