,Unnamed: 0,tweet_id_str,date_time,location,tweet_text,ML_label,subjectivity,polarity,TBsentiment,vader_compound,VADERsentiment
0,0,1542639871981920256,2022-06-30 22:43:01+00:00,"Pennsylvania, USA","Interview with renowned Oxford epidemiologist Dr. Sunetra Gupta pandemic viruses, population immunity amp the immunological landscape, how SARS CoV 2 is not all that unusual amp the perverse outcome of intervention, more. ",0,0.75,0.35,Positive,-0.4215,Negative
1,1,1542621979496402952,2022-06-30 21:31:55+00:00,"New York, USA",RNA vaccine covid19 vaccine especially dangerous because the vaccine is directed at a old covid 19 spike protein that is no longer became extinct when the original covid 19 became extinct due herd immunity.This vaccine does not give protection . ,0,0.5875,-0.2416666666666667,Negative,-0.5095,Negative
2,2,1542613809285795840,2022-06-30 20:59:27+00:00,"Wirral, UK","With freedom day fast approaching, the Government is going for herd immunity #COVID19 #humour #KindleUnlimited ",0,0.3,0.1,Positive,0.8074,Positive
3,3,1542601823202119681,2022-06-30 20:11:49+00:00,"BC, Canada(formerly, Calif)",Opinion How one doctor wrecked the pandemic response ,0,0.0,0.0,Neutral,0.0,Neutral
4,4,1542600827730157568,2022-06-30 20:07:52+00:00,,"Marching between Skippy and James Topp is Dr Paul Alexander, the Trump Caputo science adviser who called for millions of Americans to be infected with Covid 19 to achieve herd immunity amp save the economy. Alexander dominated Topp's presser with 24 CPC MPs in Ottawa a week ago. ",0,0.0,0.0,Neutral,0.0,Neutral
5,5,1542577731841544192,2022-06-30 18:36:05+00:00,"Tampa, FL",How one doctor wrecked the pandemic response ,0,0.0,0.0,Neutral,0.0,Neutral
6,6,1542564384974770178,2022-06-30 17:43:03+00:00,"Ottawa, Ontario",The man following Poilievre is Donald Trump's health advisor who wanted infants infected with COVID. ,0,0.1,0.0,Neutral,-0.4939,Negative
7,7,1542549028956786689,2022-06-30 16:42:02+00:00,🌎,How did the herd immunity approach get embraced by Trump? The House select subcommittee on the pandemic points to Dr. Scott Atlas ,0,0.0,0.0,Neutral,0.0,Neutral
8,8,1542525737743400960,2022-06-30 15:09:29+00:00,"New York, NY","The Editl Bd Mr. #Trump embraced a wrongheaded policy that appealed to his hope the virus would go away...How wrong was Dr. Atlas? He said that the virus might cause abt 10,000 deaths. In the end, it directly caused at least 1 million... ",0,0.5666666666666668,-0.2333333333333333,Negative,-0.0516,Negative
9,9,1542525573875961856,2022-06-30 15:08:50+00:00,"Wenen, Oostenrijk","'Sage never discussed the now notorious herd immunity plan that apparently started in the government s behavioural insights unit, hardly epidemiologists. A week s delay in the initial lockdown cost 20,000 lives.' ",0,0.2972222222222222,-0.08055555555555556,Negative,-0.6369,Negative
10,10,1542525360461565952,2022-06-30 15:07:59+00:00,,"Dear Lord I trust Xi over Biden Bloomberg Xi Warns Against 'Herd Immunity,' Vows to Stick With Covid Zero. via ",0,0.0,0.0,Neutral,0.6705,Positive
11,11,1542522579625250822,2022-06-30 14:56:56+00:00,,"President #XiJinping has reiterated that the dynamic zero #COVID policy has proved to be correct and effective in the nation's response to COVID 19 outbreaks, saying that the herd immunity approach would cause unimaginable consequences in such a populous country as China. ",0,0.48888888888888893,0.19999999999999998,Positive,0.6908,Positive
12,12,1542519892766642177,2022-06-30 14:46:15+00:00,Indiana,"I recently talked with about the immunological landscape of population immunity, how SARS CoV 2 is not all that unusual, the perverse outcome of intervention, and how she doesn t lose sleep worrying about an apocalyptic pandemic. ",1,0.625,0.1,Positive,-0.9062,Negative
13,13,1542518400198385667,2022-06-30 14:40:19+00:00,Whadjuk Noongar Boodja,TFW the expression Perth degrees of separation now means you got Covid 19 Still cannot believe how we came from lowest in the world to herd immunity. She'll be right. ,0,0.5357142857142857,0.2857142857142857,Positive,-0.3818,Negative
14,14,1542507794548502531,2022-06-30 13:58:11+00:00,Same Keenan Powell on Facebook,Opinion How one doctor wrecked the pandemic response ,0,0.0,0.0,Neutral,0.0,Neutral
15,15,1542492967117651971,2022-06-30 12:59:16+00:00,Western NC,"Hey, y'all. If you're one of the people that keeps asking Is there anyone that hasn't had Covid 19, yet? Please stop. You're not holding a survey. You're asking for anecdotes, at best. We're not going to reach herd immunity with Covid. Just mask, vax, distance, wash y'hands.",0,0.3,1.0,Positive,0.64,Positive
16,16,1542470948770775042,2022-06-30 11:31:46+00:00,,"... because Western Govt.'s pandemic exit strategy and tactics are to reach the goal of viral attenuation via in vivo serial passaging in the cell tissue of unvaccinated school children, and herd immunity antibodies and T Cell memory via mass infection. BTW, it failed in the UK. ",0,0.15,-0.25,Negative,-0.4939,Negative
17,17,1542468737751818241,2022-06-30 11:22:59+00:00,"Jinan, Shandong, China","President Xi Jinping has reiterated that the dynamic zero COVID policy has proved to be correct and effective in the nation's response to COVID 19 outbreaks, saying that the herd immunity approach would cause unimaginable consequences in such a populous country as China. ",0,0.48888888888888893,0.19999999999999998,Positive,0.6908,Positive
18,18,1542468576547848192,2022-06-30 11:22:20+00:00,,"President Xi Jinping has reiterated that the dynamic zero COVID policy has proved to be correct and effective in the nation's response to COVID 19 outbreaks, saying that the herd immunity approach would cause unimaginable consequences in such a populous country as China. ",0,0.48888888888888893,0.19999999999999998,Positive,0.6908,Positive
19,19,1542465738061012992,2022-06-30 11:11:04+00:00,"Cambridge, MA",How one doctor wrecked the pandemic response ,0,0.0,0.0,Neutral,0.0,Neutral
20,20,1542445809614086149,2022-06-30 09:51:52+00:00,Birmingham,Over 50000 now #COVID #Birmingham not herd immunity here. Summer wave and still mutating. #mask #ventilate take care ,0,0.0,0.0,Neutral,0.4939,Positive
21,21,1542435772669779969,2022-06-30 09:11:59+00:00,,"President #XiJinping has reiterated that the dynamic zero COVID policy has proved to be correct and effective in China's response to #COVID19 outbreaks, saying that the herd immunity approach would cause unimaginable consequences. ",0,0.48333333333333334,0.3,Positive,0.6908,Positive
22,22,1542429779923959808,2022-06-30 08:48:11+00:00,Hong Kong,"Interesting to see this comment from government health adviser Prof. Ivan Hung just as Xi Jinping arrives in town, who just a day earlier warned against herd immunity amp said zero covid is still the most economic amp effective policy for China ",0,0.5,0.36,Positive,0.6077,Positive
